resource_id,name,category,latitude,longitude,address,step_free,accessible_restroom,accessibility_notes,hours,phone,website,description,source_checked
gnv-gcm,Gainesville Community Ministry,Food assistance,29.6484195,-82.3271466,"238 SW 4th Ave, Gainesville, FL 32601",unknown,unknown,Call to confirm physical accessibility.,"Mon–Thu, 9 a.m.–2 p.m.",352-372-8162,https://www.gcmhelp.org/,Food pantry and other emergency assistance.,2026-09-20
gnv-catholic-charities,Catholic Charities Gainesville,Food assistance,29.6674173,-82.3146630,"1701 NE 9th St, Gainesville, FL 32609",unknown,unknown,Call to confirm physical accessibility.,"Pantry Mon–Thu, 9:30 a.m.–12:30 p.m.",352-372-0294,https://www.catholiccharitiesgainesville.org/about,Food and emergency financial assistance; eligibility may apply.,2026-09-20
gnv-grace,GRACE Marketplace,Shelter & housing,29.6800981,-82.2867919,"3055 NE 28th Dr, Gainesville, FL 32609",unknown,unknown,Call to confirm physical accessibility.,"Public campus daily, 7 a.m.–7 p.m.",352-792-0800,https://www.gracemarketplace.org/how-we-help,Adult shelter and day services; shelter beds cannot be reserved by phone.,2026-09-20
gnv-st-francis,St. Francis House,Shelter & housing,29.6481042,-82.3247846,"413 S Main St, Gainesville, FL 32601",unknown,unknown,Call to confirm physical accessibility.,Call before visiting.,352-378-9079,https://stfrancishousegnv.com/,Emergency shelter and support services.,2026-09-20
gnv-crisis,Alachua County Crisis Center,Mental health,29.6495633,-82.2934075,"218 SE 24th St, Gainesville, FL 32641",unknown,unknown,"TDD/TTY is listed; call to confirm on-site physical accessibility.","Crisis line 24/7; office hours vary",352-264-6789,https://www.alachuacounty.us/Depts/CSS/CrisisCenter/Pages/CrisisCenter.aspx,Crisis counseling and emergency walk-in support.,2026-09-20
gnv-family-eastside,UF Health Family Medicine – Eastside,Health care,29.6551655,-82.3094590,"410 NE Waldo Rd, Gainesville, FL 32641",unknown,unknown,Call to confirm the features you need.,Call for appointments.,352-265-7015,https://chfm.ufl.edu/patient-care/,Primary care for adults and children.,2026-09-20
gnv-urgent-eastside,UF Health Urgent Care – Eastside,Health care,29.6474764,-82.2990465,"457 SE 20th St, Gainesville, FL 32641",unknown,unknown,Call to confirm the features you need.,Check current hours before travel.,352-594-0455,https://chfm.ufl.edu/patient-care/,Urgent care services on the Eastside campus.,2026-09-20
gnv-healthstreet,UF HealthStreet,Health care,29.6318598,-82.3597155,"2401 SW Archer Rd, Gainesville, FL 32608",unknown,unknown,Call to confirm the features you need.,"Mon–Fri, 10 a.m.–4 p.m.",352-294-4880,https://healthstreet.program.ufl.edu/support-healthstreet/,Community health support and service navigation.,2026-09-20
gnv-social-services,Alachua County Social Services,Legal & benefits,29.6495633,-82.2934075,"218 SE 24th St, Gainesville, FL 32641",unknown,unknown,Call to confirm the features you need.,"Mon–Fri, 8:30 a.m.–5 p.m.",352-264-6750,https://alachuacounty.us/Depts/CSS/SocialServices/Pages/SocialServices.aspx,County social services and assistance programs.,2026-09-20
gnv-three-rivers,Three Rivers Legal Services,Legal & benefits,29.6670757,-82.3136879,"1000 NE 16th Ave, Building I, Gainesville, FL 32601",unknown,unknown,"Florida Relay 711 is available; call to confirm on-site physical accessibility.","Mon–Thu, 8:30 a.m.–5 p.m.; Fri, 8:30 a.m.–noon",352-372-0519,https://www.trls.org/locations/,Free civil legal help for eligible residents.,2026-09-20
gnv-library,Alachua County Library – Headquarters,Family & learning,29.6515338,-82.3215597,"401 E University Ave, Gainesville, FL 32601",unknown,unknown,"TTY 711 is listed; call to confirm specific physical features.",Hours vary by day.,352-334-3900,https://www.aclib.us/headquarters-library,Computers; Wi-Fi; printing; study and meeting spaces.,2026-09-20
gnv-swag,SWAG Family Resource Center,Family & learning,29.6449906,-82.4114221,"807 SW 64th Ter, Gainesville, FL 32607",unknown,unknown,Call to confirm the features you need.,Call before visiting.,352-505-6823,https://swadvocacygroup.org/contact-swag/,Family support and neighborhood services.,2026-09-20
gnv-porters,Porters Community Center,Family & learning,29.6503470,-82.3299364,"512 SW 2nd Ave, Gainesville, FL 32601",unknown,unknown,Call to confirm the features you need.,Hours vary by program.,352-334-3366,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Parks-Recreation-Cultural-Affairs,Community programs and recreation.,2026-09-20
gnv-eastside-center,Eastside Community Center,Family & learning,29.6517260,-82.2874556,"2841 E University Ave, Gainesville, FL 32641",unknown,unknown,Call to confirm the features you need.,Hours vary by program.,352-334-2714,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Parks-Recreation-Cultural-Affairs,Community programs and recreation.,2026-09-20
